292,Ketam tapak kuda,Tachipleus gigas
293,Ketunggeng,Hetereometrus cyneus
294,Kijang,Muntiakus muntjak
295,Kima Cina,Hippopus porcellanus
296,Kima kecil,Tridacna maxima
297,Kima Kunia,Tridacna crocea
298,Kima Raksa,Tridacna maxima
299,Kima raksasa,Tridacna gigas
300,Kima selatan,Tridacna derasa
301,Kima sisik, Kima seruling,Tridacna squamosa
302,Kima tapak kuda,Hippopus hippopus
303,King cobra,Ophiophagus hannah
304,Kipasan Belang,Rhipidura javanica
305,Kipasan Ekor Merah,Rhipidura phoenicura
306,Kiwi,Apterix australis
307,Koala,Phascolartus cinereus
308,Kobra,Naja naja
309,Komodo,Varanus komodoensis
310,Kowak,Nycticorax caledonicus
311,Kuau Raja,Argusisnus argus
312,Kubung (Lemur Terbang),Cynocephalus variegatus
313,Kubung / Tando,Cynocephalus variegatus 
314,Kucica / kacer,Aegiyhina tiphia
315,Kucing Bakau,Felis viverrina
316,Felis planiceps,Felis planiceps
317,Kucing emas,Felis temmincki
318,Kucing Hutan,Felis bengalensis
319,Kucing merah,Felis badia
320,Kucing,Felis sylvestris
321,Kucing rumah,Felis domesticus
322,Kuda laut,Hippocampus
323,Kuda Nil,Hippopotamus amphibius
324,Kuda zebra,Equus burchelli
325,Kuda,Equus caballus
326,Kukang,Nycticebus coucang
327,Kumbang Daun,Leptinotarsa decemlineata
328,Kumbang Pohon Kelapa,Drytes apicalis
329,Kuntul Besar,Egretta Alba
330,Kuntul karang,Egretta sacra
331,Kuntul kecil,Egretta gazzeta
332,Kuntul Kerbau,Bubulcus ibis
333,Kuntul Perak,Egretta intermedia
334,Kupu bidadari,Cethosia myrina
335,Kupu burung,Ornithoptera rotschldi
336,Kupu burung titon,Ornithoptera tithonus
337,Kupu raja,Troides sp.
338,Kupu sayap burung goliat,Ornithoptera goliath
339,Kupu sayap burung peri,Ornithoptera chimaera
340,Kupu sayap burung surga,Ornithoptera paradisea
341,Kupu sayap priamus,Ornithoptera priamus
342,Kupu trogon,Trogonotera brookiana
343,Kura Irian leher panjang,Chelodina novaeguineae
344,Kura Irian leher pendek,Elseya novaeguineae
345,Kura-Kura Air Tawar,Chelydra serpentia
346,Kura-kura gading,Orlitia borneensis
347,Kura-kura Irian,Carettochelys insculpta
348,Kura-kura,Coura sp.
349,Kuskus,Phalanger sericeus
350,Kutilang,Pycnonotus aurigaster
351,Kutu Anjing,Ctenodephalus cannis
352,Kutu Buku,Lepisma sacharina
353,Kutu busuk,Limex totundatus
354,Kutu Daun,Apis medicaginis
355,Kutu Kepala,Pediculus capitis
356,Kutu Manusia,Purea irritans
357,Kutu Paha,Phtirus pubis
358,Kutu Pakaian,Pediculus humanus
359,Kutu Tikus,Xenopsilla cheopis
360,Kuwuk,Felis marmorata
361,Laba-Laba Babi,Nephila maculata
362,Laba-Laba Pemburu,Heteropoda venatoria
363,Labi-labi besar  / Bulus,Chitra indica
364,Lalat Buah,Dropsophila melanogaster
365,Lalat Rumah,Musca domestica
366,Lancah / Tarantula Jawa,Selenocosmia javanensis
367,Landak Irian / Landak semut,Prochidna bruijni
368,Landak,Hystrix brachyura
369,Larwo/murai batu,Copsychus malabaricus
370,Lebah Madu,Apis indica
371,Leopard,Uncia uncia
372,Lilia Laut Bertangkai,Ptilocrinus pinnatus
373,Lilia Laut Tidak Bertangkai,Metaricanus interuptus
374,Lintah India,Dinobdilla ferox
375,Lintah Jawa,Hirudinaria javanica
376,Lintah Timor Tengah,Limnatis nilofica
377,Lintah,Hirudo medicinalis
378,Lipan,Scolopendra subspinipes
379,Lumba-lumba air tawar,Orcaella brevirostris
380,Lumba-lumba pemangsa kecil,Peponocephala electra
381,Lumba-lumba tak bersirip,Neophocaena phocaenoides
382,Lutra Sumatera Lutra,Lutra sumatrana
383,Lutra,Lutra lutra
384,Lutung Banggat,Presbitis hosei
385,Lutung Dahi Putih,Presbitis frontata
386,Lutung Jawa,Trachypithecus auratus
387,Lutung merah / Kelasi,Presbitys rubicunda
388,Macan Dahan,Neofelis nebulosa
389,Macan Kumbang,Panthera pardus
390,Macan kumbang / tutul,Panthera pardus
391,Macan tutul,Panthera pardus
392,Macan Tutul,Panthera pardus
393,Maleo,Macrocephalon maleo
394,Malu - Malu,Nycticebus coucang
395,Malu,Nycticebus coucang
396,Mandar Sulawesi,Aramidopsis plateni
397,Marabu, Bangau tongtong,Leptoptilos javanicus
398,Menjangan, Rusa sambar,Cervus spp.
399,Mentok Rimba,Carina scutulata
400,Merak Hijau,Pavo muticus
401,Merak kerdil,Polyplectron malacense
402,Merpati,Columba livia
403,Merpati dara,Columbia livia
404,Monyet Asia Tenggara,Macaca fascicularis
405,Monyet hitam Sulawesi,Cynopithecus niger
406,Monyet jambul,Macaca tonkeana
407,Monyet Jepang,Macaca fuscata
408,Monyet merah,Alouatta seniculus
409,Monyet Sulawesi,Macaca brunnescens
410,Monyet Sulawesi, Macaca maura
411,Moose,Axes sp.
412,Mujair,Tilapia mussambica
413,Musang air,Cynogale bennetti
414,Musang Cokelat Sulawesi,Macrogalidia musschenbroeki
415,Musang congkok,Prionodon linsang
416,Musang Congkok,Prionodon linsang
417,Musang Sulawesi,Macrogalidia musschenbroeki
418,Nori merah kepala hitam,Lorius domicellus
419,Nuri Bayan,Eklectus roratus
420,Nuri Kepala Hitam,Hitam Lorius lory
421,Nuri Sangir,Eos histrio
422,Nuri Sulawesi,Tanygnathus sumatranus
423,Nyamuk Malaria,Malaria Anopheles sp.
424,Opior Jawa,Lophozophterops javanicus
425,Orang utan / Mawas,Pongo pygmaeus
426,Owa Jawa,Hylobates moloch
427,Pacet,Haemadipsa zeylanisa
428,Panda,Pandanus sp.
429,Paok Hijau,Pitta Sordida
430,Paok Pancawarna,Pitta Guajana
431,Pari Sentani, Hiu Sentani,Pritis spp.
432,Paus,Cetacea 
433,Paus,Orchinus orcha 
434,Pecuk ular,Anhinga melanogaster
435,Pekaka Emas,Pelargopsis eapensis
436,Pelican,Pelecanus occidentalis
437,Penguin,Apterodytes forsteri
438,Penyu belimbing,Dermochelys coriacea
439,Penyu Bromo,Caretta caretta
440,Penyu hijau,Chelonia mydas
441,Penyu hijau,Chelonia mydas
442,Penyu Kulit,Dermochelis coreaceae
443,Penyu pipih, Natator depressa
444,Penyu ridel,Lepidochelys olivacea
445,Penyu sisik temu,Lepidochelys olivacea
446,Penyu Sisik,Erethmochelys imbricata
447,Penyu tempayan,Caretta caretta
448,Penyu,Chelonia mydas
449,Pergam raja,Ducula whartoni
450,Perkutut,Geopelia striata
451,Peyang malaya,Scleropages formasus
452,Pinjal Pulex,Pulex iritans
453,Platypus,Ornithorhynchus sanguinus
454,Raja Udang biru jawa,Halchyon cyanoventris
455,Raja Udang biru kecil,Alcedo coerulescens
456,Raja Udang biru,Ceyx azuera
457,Raja Udang,Eurasia Alcedo atthis
458,Raja Udang hitam,Halchyon macleayil
459,Raja Udang kalung putih,Halchyon chloris
460,Raja Udang kuduk hitam,Halchyon pileata
461,Raja Udang leher putih,Halchyon smirnensis
462,Raja Udang merah,Halchyon coromanda
463,Raja Udang paruh bangau,Pelargopsis copensis
464,Raja Udang punggung merah,Ceyx rofidorsus
465,Raja Udang,Halchyon fulgida
466,Rajungan,Neptunus pelagicus
467,Rakun,Proyon lotor
468,Rangkok Kecil,Anthracocaros malabaricus
469,Rangkong Badak,Bucleros hinocheros
470,Rangkong Sulawesi,Aceros cassidia
471,Rayap,Calotermes tectonal
472,Remis,Asaphis detlorasa
473,Rubah arktik,Aloper lagopus
474,Rubah swift,Vulpes velox
475,Rubah,Vulpes vulpes
476,Rungka,Presbitys thomasi
477,Rusa Bawean,Axis kuhli
478,Rusa merah,Cervus elaphus
479,Rusa sika,Cervus nippon
480,Rusa Timor,Cervus timorensis
481,Rusa Tutul,Axis axis
482,Rusa,Cervus timorensis
483,Salamander Api,Salamandra salamandra
484,Salmon,Oneorhynchus neika
485,Samber Lilen,Chrisochorosa fulminans
486,Sanca bodo,Python molurus
487,Sanca hijau,Sanca hijau Chondropython viridis
488,Sanca Timor,Phyton timorensis
489,Sandang Lawo,Ciconia episcopus
490,Sapi laut,Hydrodamalis gigas
491,Sapi,Bos taurus
492,Selusur Maninjau,Homaloptera gymnogaster
493,Semut Hitam,Dolichoderus sp.
494,Semut,Hymenoptera sp
495,Sengat Laut,Chironex fleckeri
496,Senyulong, Buaya sapit,Tomistoma schlegelii
497,Sepat,Trichogaster pectoralis
498,Serangga Peloncat,Dalbulus maidis
499,Serigala,Canis lupus
500,Serindit Sangihe,Loriculus catamene
501,Serindit Sulawesi,Loriculus exilis
502,Seriwang Sangihe,Eutrichomyias rowleyi
503,Siamang Kerdil,Hylobates klossii
504,Siamang,Hylobates syndactilus
505,Sigung,Mydaus javanensis
506,Simakobu,Simias concolor
507,Simpei Mentawai,Simias concolor
508,Singa,Panthera leo
509,Siput Darat,Achatina fulica
510,Siput air,Lymnaea truncatula
511,Soa payung,Chlamydosaurus kingii
512,Soa-soa / Biawak Ambon,Hydrasaurus amboinensis
513,Sotong,Sepia officinalis
514,Surili,Presbitis comata
515,Suruku / Burung luntur,Trogonidae Kasumba
516,Tapir,Taphirus indiscus
517,Tawon Endas,Vespula maculata
518,Tekukur,Sreptopelia bitorquata
519,Tepus Pipi Perak,Stachyris melanothorax
520,Teripang Hitam,Holothuria athra
521,Teripang Nanas,Thelenota ananas
522,Teripang Pasir,Holothuria scabra
523,Teripang,Thyone briarcus
524,Tikus,Rattus rattus
525,Tiong Emas Nias,Gracula religiosa-robusta
526,Tokek,Gecko monorchus
527,Tombro,Cyprinus carpio
528,Tonggeret,Dundabia manifera
529,Trenggiling,Manis javanicus
530,Trinil tutul,Tringa guttifer
531,Triton terompet,Charonia tritonis
532,Troka / Susur bundar,Trochus niloticus
533,Trulek ekor putih,Vanellus macropterus
534,Trulek lidi,Himantopus himantopus
535,Tuatara,Sphenodon punchatus
536,Tulum tumpuk,Megalaima javanica
537,Tungau,Sarcoptes scobei
538,Tuntong,Batagur baska
539,Tupai,Tupaia javanica
540,Udang,Lysmata grabhami
541,Ular air,Cerberus rynchops
542,Ular cobra / sendok Naja,Naja sputatrix
543,Ular hijau,Trimeresurus albbolabris
544,Ular kadut,Acerochordus granulatas
545,Ular lumpur,Enhydris plumbea
546,Ular pelangi,Xenopeltis unicolor
547,Ular Piton,Phyton reticulatus
548,Ular Pohon,Boiga sp.
549,Ular pucuk pohon,Dryophis prasinus
550,Ular Sanca Bodo,Phyon morulus
551,Ular Sanca Hijau,Morelia viridis
552,Ular sawah,Python reticulatus
553,Ular tali wangsa,Boiga denrophila
554,Ular tanah,Angkistrodon rhodostima
555,Ular welang,Bungarus javanicus
556,Ular weling,Bungarus candius
557,Ulat Sutra,Bombyx mori
558,Undur-undur,Myrmeleon frontalis
559,Ungko (Bertangan Hitam),Hylobates agilis
560,Ungko Kalimantan,Hylobates muelleri
561,Ungko Lengan Putih,Hylobates lar
562,Vikuna,Vicugna vicugna
563,Wader goa,Puntius microps
564,Walang Sangit,Leptacorisa acuta
565,Walet,Collocalia fuchipaga
566,Walrus,Odobenus rasmanus  
567,Wereng Coklat,Nilaparvata lugens
568,Wereng Hijau,Nephoterix apicalis
569,Wili-wili / Bebek laut,Esacus magnirostris
570,Zebra,Equus burchelli
